"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic GEOCOMP","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District 110","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate (Includes Equivalency)","Population 25 Years and Over: Some College","Population 25 Years and Over: Bachelor's Degree","Population 25 Years and Over: Master's Degree","Population 25 Years and Over: Professional School Degree","Population 25 Years and Over: Doctorate Degree"
"01","04000US01","Alabama","Alabama","al","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4887871,288589,290369,321430,188717,461302,635976,593480,626173,652172,493396,251025,85242,4887871,3306838,1307040,22063,65095,1797,84027,101011,4887871,4676386,3192169,1298603,20450,64942,1797,6970,91455,211485,114669,8437,1613,153,0,77057,9556,3337464,448179,1026976,1010272,536086,229484,50881,35586
"02","04000US02","Alaska","Alaska","ak","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737438,52173,52544,49747,28996,68625,117688,97020,89333,93312,59630,21000,7370,737438,474555,25197,111371,46381,7958,9780,62196,737438,684369,443304,24011,107887,45513,7877,895,54882,53069,31251,1186,3484,868,81,8885,7314,485353,32444,137293,169188,89635,38582,10849,7362
"04","04000US04","Arizona","Arizona","az","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7171646,434032,441613,488738,277616,689343,979328,882618,852462,866793,727956,398408,132739,7171646,5590505,336340,330599,237873,15661,373688,286980,7171646,4905304,3894250,310388,277800,232105,14177,9960,166624,2266342,1696255,25952,52799,5768,1484,363728,120356,4840304,605934,1159297,1636580,898032,389350,88079,63032
"05","04000US05","Arkansas","Arkansas","ar","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3013825,188092,192523,203502,119843,287926,392937,367053,370343,383930,296808,154699,56169,3013825,2306096,456714,20951,47548,9398,84917,88201,3013825,2783525,2174167,454521,17615,46681,9278,4612,76651,230300,131929,2193,3336,867,120,80305,11550,2021939,258986,686867,604811,296422,125495,30069,19289
"06","04000US06","California","California","ca","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39557045,2428493,2398894,2646096,1512055,3755863,6034398,5264457,5068026,4781426,3286461,1651296,729580,39557045,23535388,2283850,302792,5821585,155739,5453229,2004462,39557045,24016903,14495479,2179078,139116,5741886,143302,100696,1217346,15540142,9039909,104772,163676,79699,12437,5352533,787116,26815644,4355017,5559362,7730189,5704852,2365794,654240,446190
"08","04000US08","Colorado","Colorado","co","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5695564,335642,352145,364535,214416,528539,889656,781388,710218,711170,502418,218031,87406,5695564,4790677,237578,55146,180277,7585,196831,227470,5695564,4460437,3859171,223299,31977,177495,6616,10755,151124,1235127,931506,14279,23169,2782,969,186076,76346,3900287,317116,812615,1145007,1013989,444914,98977,67669
"09","04000US09","Connecticut","Connecticut","ct","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3572665,181224,191879,224026,137937,344203,447891,424573,494642,513143,343060,182391,87696,3572665,2688136,391552,9507,165855,1017,195208,121390,3572665,2982855,2367636,357164,5105,164859,244,11387,76460,589810,320500,34388,4402,996,773,183821,44930,2493396,226254,669967,609945,544028,325902,75528,41772
"10","04000US10","Delaware","Delaware","de","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967171,54335,51828,62410,34577,84321,127399,112393,122887,136265,107895,54257,18604,967171,659781,217594,4397,39023,896,19652,25828,967171,875196,598105,210908,3397,38860,820,1258,21848,91975,61676,6686,1000,163,76,18394,3980,679700,69081,225797,171830,124178,66391,10766,11657
"11","04000US11","District of Columbia","District of Columbia","dc","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702455,45490,32857,33386,15481,75065,163467,105535,75526,70022,48833,25892,10901,702455,296747,319777,1932,27538,397,30897,25167,702455,623206,259371,311654,1281,26959,336,3502,20103,79249,37376,8123,651,579,61,27395,5064,500176,39628,82900,75478,129782,109855,42734,19799
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21299325,1135392,1127602,1244592,720289,1769325,2758515,2586704,2741968,2856154,2404234,1393550,561000,21299325,15899574,3410741,59870,593634,12841,708740,613925,21299325,15736873,11344261,3252558,41492,580229,9694,81784,426855,5562452,4555313,158183,18378,13405,3147,626956,187070,15302125,1761732,4387954,4505209,2920459,1190545,354163,182063
"13","04000US13","Georgia","Georgia","ga","040","00","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10519475,645488,683042,739018,435745,1038010,1442243,1401044,1396330,1282127,896948,416680,142800,10519475,6127645,3319691,34485,436051,14049,301148,286406,10519475,9497721,5493804,3281137,17359,431551,11618,33630,228622,1021754,633841,38554,17126,4500,2431,267518,57784,6978172,866099,1942122,1945918,1362317,606345,156547,98824
"15","04000US15","Hawaii","Hawaii","hi","040","00","ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420491,87437,84434,84576,46808,121647,201025,181541,171390,180166,149372,72022,40073,1420491,345652,28325,3237,534479,144971,18052,345775,1420491,1269135,308375,26978,1976,521237,134876,1321,274372,151356,37277,1347,1261,13242,10095,16731,71403,995589,80079,266728,315209,218828,79475,21301,13969
"16","04000US16","Idaho","Idaho","id","040","00","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1754208,113693,123959,129947,77771,165091,228080,219713,201135,215378,168397,81341,29703,1754208,1576846,12075,23026,27026,2763,59217,53255,1754208,1531744,1434463,10007,18867,26186,2222,1429,38570,222464,142383,2068,4159,840,541,57788,14685,1143747,103868,318218,405399,213462,72465,16764,13571
"17","04000US17","Illinois","Illinois","il","040","00","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12741080,759456,762237,838140,495969,1178902,1765517,1644390,1636054,1669867,1143329,587651,259568,12741080,9135145,1793079,35846,717938,5317,712778,340977,12741080,10532212,7760732,1759316,17215,711970,2887,24310,255782,2208868,1374413,33763,18631,5968,2430,688468,85195,8706376,914782,2269285,2469625,1833666,887459,206789,124770
"18","04000US18","Indiana","Indiana","in","040","00","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6691878,417774,430155,451395,267733,656928,874246,826473,841750,874278,613699,310870,126577,6691878,5539927,637277,14040,154220,3470,162303,180641,6691878,6219459,5266285,628603,10560,152940,3249,15103,142719,472419,273642,8674,3480,1280,221,147200,37922,4467893,491834,1480040,1284953,771811,325867,65283,48105
"19","04000US19","Iowa","Iowa","ia","040","00","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3156145,197883,197454,215222,122830,317964,394507,383617,369396,419454,299333,162869,75616,3156145,2846099,115137,11494,79971,3463,30713,69268,3156145,2964672,2695583,113562,9710,79643,2945,4000,59229,191473,150516,1575,1784,328,518,26713,10039,2104792,162649,649269,682334,413442,133905,35684,27509
"20","04000US20","Kansas","Kansas","ks","040","00","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2911510,186990,190475,208695,118991,294933,376422,359447,339683,373683,264050,134355,63786,2911510,2446823,171141,26829,82444,2929,73293,108051,2911510,2563067,2201742,163132,21136,81824,2562,1963,90708,348443,245081,8009,5693,620,367,71330,17343,1911426,172033,485753,607497,402368,179315,36989,27471
"21","04000US21","Kentucky","Kentucky","ky","040","00","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4468402,273489,279978,285833,168481,421207,579520,553107,575373,600022,435465,217279,78648,4468402,3875023,354761,8470,65300,4943,51887,108018,4468402,4306896,3776055,349542,6878,64830,4003,8661,96927,161506,98968,5219,1592,470,940,43226,11091,3039414,401064,990911,893654,442090,226181,53628,31886
"22","04000US22","Louisiana","Louisiana","la","040","00","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4659978,301857,297439,317930,180359,436660,645255,589714,567313,602841,434897,211869,73844,4659978,2877115,1509407,25657,76255,1133,65366,105045,4659978,4420024,2720774,1499008,22714,74845,606,10835,91242,239954,156341,10399,2943,1410,527,54531,13803,3125733,442559,1071772,852749,496634,183295,49150,29574
"23","04000US23","Maine","Maine","me","040","00","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338404,63410,67860,72549,44733,106470,159944,153436,180466,213467,163953,77267,34849,1338404,1261453,18954,8566,15683,465,3264,30019,1338404,1315993,1245001,18501,8204,15356,89,1315,27527,22411,16452,453,362,327,376,1949,2492,983382,68461,309259,295612,197489,79762,19204,13595
"24","04000US24","Maryland","Maryland","md","040","00","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6042718,361435,364571,385477,226872,537024,826526,775079,822740,811953,546442,276084,108515,6042718,3305047,1810885,13433,378985,7311,304042,223015,6042718,5414283,3035148,1782090,9701,376805,2263,25852,182424,628435,269899,28795,3732,2180,5048,278190,40591,4167339,396131,1009495,1061018,911761,546260,133920,108754
"25","04000US25","Massachusetts","Massachusetts","ma","040","00","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6902149,357223,369278,392598,248027,702295,990332,842140,921551,941164,656546,327266,153729,6902149,5335175,537523,16198,472403,2775,303331,234744,6902149,6055369,4882418,483673,10754,468665,2185,53791,153883,846780,452757,53850,5444,3738,590,249540,80861,4832728,446304,1126183,1108231,1178868,681633,150773,140736
"26","04000US26","Michigan","Michigan","mi","040","00","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9995915,569183,587011,619055,389016,961804,1291353,1165562,1290759,1401719,1009186,506974,204293,9995915,7825285,1376751,53012,325828,3907,118467,292665,9995915,9478534,7476047,1363183,46417,324358,3290,14443,250796,517381,349238,13568,6595,1470,617,104024,41869,6869846,612424,1972855,2252674,1239251,590176,120783,81683
"27","04000US27","Minnesota","Minnesota","mn","040","00","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5611179,354932,360713,370367,216035,499903,759541,714967,689680,756407,510486,262775,115373,5611179,4629375,367653,60983,273126,2396,102814,174832,5611179,5303166,4455388,362419,54989,271051,2025,8194,149100,308013,173987,5234,5994,2075,371,94620,25732,3809229,252805,921287,1237009,920850,337189,86399,53690
"28","04000US28","Mississippi","Mississippi","ms","040","00","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2986530,177761,191591,216172,120198,303525,379027,380696,359664,383473,284356,143707,46360,2986530,1735455,1135599,13234,26142,1372,29778,44950,2986530,2899404,1684276,1130353,12675,25819,1179,4320,40782,87126,51179,5246,559,323,193,25458,4168,1977283,288595,589363,640631,284701,122992,31636,19365
"29","04000US29","Missouri","Missouri","mo","040","00","ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6126452,370408,373737,401199,232382,565939,819132,742343,753354,832884,596623,313646,124805,6126452,5035197,704327,27705,121417,7385,56557,173864,6126452,5872978,4857174,698641,23149,120440,7095,9832,156647,253474,178023,5686,4556,977,290,46725,17217,4182787,398377,1270247,1278269,754906,351868,77529,51591
"30","04000US30","Montana","Montana","mt","040","00","ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062305,61688,61732,67916,38629,96579,133976,128663,121090,151793,121055,58431,20753,1062305,941438,5056,68013,8517,990,5828,32463,1062305,1020700,912200,4899,65452,8474,929,980,27766,41605,29238,157,2561,43,61,4848,4697,735761,45079,205496,251781,152448,57723,14939,8295
"31","04000US31","Nebraska","Nebraska","ne","040","00","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929268,131156,129861,136769,77100,187942,256755,244896,218816,241975,172853,89193,41952,1929268,1666990,91221,18555,45779,1289,46473,58961,1929268,1714785,1515261,89377,14471,45534,800,2330,47012,214483,151729,1844,4084,245,489,44143,11949,1266440,108346,326400,420964,269675,100126,23436,17493
"32","04000US32","Nevada","Nevada","nv","040","00","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3034392,184539,188880,201625,114176,248598,442713,405128,396167,377446,291996,138844,44280,3034392,1924976,280385,44666,250137,19612,358786,155830,3034392,2153247,1469593,266440,30185,244471,18249,11810,112499,881145,455383,13945,14481,5666,1363,346976,43331,2096574,274055,581662,719023,339675,124305,36387,21467
"33","04000US33","New Hampshire","New Hampshire","nh","040","00","ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356458,62857,68935,76872,49464,127582,167822,154965,189718,213087,146599,67733,30824,1356458,1253931,23432,3562,36048,515,9013,29957,1356458,1303810,1217767,18950,3538,35901,473,1860,25321,52648,36164,4482,24,147,42,7153,4636,970748,66510,269202,277457,217282,104805,20170,15322
"34","04000US34","New Jersey","New Jersey","nj","040","00","ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8908520,517694,517905,573092,342314,768272,1151093,1147591,1233599,1218671,812353,430178,195758,8908520,5956539,1207995,21131,868213,2909,604334,247399,8908520,7069161,4864534,1137645,8921,861223,1777,40261,154800,1839359,1092005,70350,12210,6990,1132,564073,92599,6189243,607496,1629398,1427357,1535321,707352,176756,105563
"35","04000US35","New Mexico","New Mexico","nm","040","00","ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2095428,118494,127795,151078,82870,198710,279153,256261,239928,272659,221209,106536,40735,2095428,1599938,46064,200659,34155,2465,144961,67186,2095428,1066199,773039,39940,183944,31807,2030,3662,31777,1029229,826899,6124,16715,2348,435,141299,35409,1416481,206688,370023,448058,221735,119066,24619,26292
"36","04000US36","New York","New York","ny","040","00","ACSSF","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19542209,1139842,1078979,1154737,691127,1805181,2872898,2433825,2557338,2596217,1811595,967841,432629,19542209,12375601,3069259,84312,1666113,9424,1689845,647655,19542209,15789686,10794347,2789585,45465,1651636,4765,97323,406565,3752523,1581254,279674,38847,14477,4659,1592522,241090,13672343,1757364,3546789,3276724,2846770,1618369,412115,214212
"37","04000US37","North Carolina","North Carolina","nc","040","00","ACSSF","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10383620,597192,620626,679947,399093,984618,1382310,1310404,1378087,1342769,1013996,495511,179067,10383620,7098569,2222533,120845,306682,10218,326630,298143,10383620,9388091,6505973,2184448,108795,303651,8539,25927,250758,995529,592596,38085,12050,3031,1679,300703,47385,7102144,834880,1802360,2198103,1454678,585019,126564,100540
"38","04000US38","North Dakota","North Dakota","nd","040","00","ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760077,52175,50804,47274,24461,84584,116734,90872,81517,95223,64047,33947,18439,760077,651687,25896,41270,13749,339,9569,17567,760077,732633,636952,25541,39559,13642,339,1584,15016,27444,14735,355,1711,107,0,7985,2551,500779,38508,129495,184166,110664,26850,6960,4136
"39","04000US39","Ohio","Ohio","oh","040","00","ACSSF","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11689442,693129,691126,752239,453942,1071971,1533104,1396763,1488201,1612804,1152361,595517,248285,11689442,9470940,1446306,25672,271762,4228,112136,358398,11689442,11233524,9182383,1425930,18605,269314,3819,20784,312689,455918,288557,20376,7067,2448,409,91352,45709,8027035,746400,2625971,2329054,1431014,660793,142671,91132
"40","04000US40","Oklahoma","Oklahoma","ok","040","00","ACSSF","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3943079,258036,262116,277994,158174,379146,542736,492077,459013,494186,361839,185179,72583,3943079,2845906,287680,307183,84694,3859,110013,303744,3943079,3514000,2570367,282571,293505,83919,3512,7652,272474,429079,275539,5109,13678,775,347,102361,31270,2607613,301260,816934,821258,434570,167497,41277,24817
"41","04000US41","Oregon","Oregon","or","040","00","ACSSF","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4190713,230515,236914,253861,151298,365745,592655,556833,519480,543801,447596,210633,81382,4190713,3514983,82046,49051,190680,18758,137973,197222,4190713,3634316,3147602,77915,41055,188459,17844,6609,154832,556397,367381,4131,7996,2221,914,131364,42390,2952380,279925,655811,1014101,621190,266350,65460,49543
"42","04000US42","Pennsylvania","Pennsylvania","pa","040","00","ACSSF","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12807060,700416,708163,775827,463211,1164816,1695073,1496113,1659541,1811531,1311159,707570,313640,12807060,10256084,1428406,21418,455027,5008,307572,333545,12807060,11832297,9723288,1352804,14367,450077,3557,21357,266847,974763,532796,75602,7051,4950,1451,286215,66698,8994627,812098,3113998,2206049,1723226,808356,192203,138697
"44","04000US44","Rhode Island","Rhode Island","ri","040","00","ACSSF","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057315,54430,56691,55343,37444,112712,146349,123137,140006,148558,103271,52915,26459,1057315,852805,70749,4341,36064,883,59743,32730,1057315,888974,754990,61691,2772,35378,197,8922,25024,168341,97815,9058,1569,686,686,50821,7706,740695,80586,210606,194842,147507,78052,16840,12262
"45","04000US45","South Carolina","South Carolina","sc","040","00","ACSSF","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5084127,287356,307540,323598,185915,487363,654355,623363,637009,677874,553062,261920,84772,5084127,3407706,1353599,23672,80969,4004,92980,121197,5084127,4789625,3229793,1345077,16553,80638,3685,11601,102278,294502,177913,8522,7119,331,319,81379,18919,3492355,403491,1043630,1055899,627144,268230,54446,39515
"46","04000US46","South Dakota","South Dakota","sd","040","00","ACSSF","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882235,60427,58765,61566,33705,84922,116300,105167,97263,117762,85022,39575,21761,882235,740870,19057,78068,15023,51,5782,23384,882235,848252,718783,18895,74907,14791,51,271,20554,33983,22087,162,3161,232,0,5511,2830,582850,45157,180511,186784,117943,36966,10011,5478
"47","04000US47","Tennessee","Tennessee","tn","040","00","ACSSF","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6770010,404439,413172,434765,256999,619812,914783,846438,883961,890844,658560,332775,113462,6770010,5235588,1137801,19136,119046,5494,101153,151792,6770010,6397109,4984848,1123551,15812,118553,4189,15771,134385,372901,250740,14250,3324,493,1305,85382,17407,4640823,564949,1477132,1323317,801616,328826,86098,58885
"48","04000US48","Texas","Texas","tx","040","00","ACSSF","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28701845,2010781,1984419,2171522,1232762,2825264,4181960,3910623,3550999,3233916,2174294,1042370,382935,28701845,21099066,3527027,149997,1430857,21463,1709445,763990,28701845,17333001,11881257,3409081,70676,1413916,18958,45166,493947,11368844,9217809,117946,79321,16941,2505,1664279,270043,18477097,2963969,4627856,5284495,3627047,1438527,313592,221611
"49","04000US49","Utah","Utah","ut","040","00","ACSSF","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3161105,250194,257110,270952,153575,357372,463344,437953,319031,300277,212206,103828,35263,3161105,2708195,40365,34678,75898,29362,171456,101151,3161105,2710885,2459891,37546,27959,74784,28810,6356,75539,450220,248304,2819,6719,1114,552,165100,25612,1871902,142082,423407,653968,427561,160409,36599,27876
"50","04000US50","Vermont","Vermont","vt","040","00","ACSSF","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626299,28810,32019,33938,20760,64948,75058,70113,80695,96083,75755,34971,13149,626299,589337,7621,1743,11859,139,2815,12785,626299,613849,579944,7206,1701,11841,139,1143,11875,12450,9393,415,42,18,0,1672,910,445824,28903,127349,116983,103068,49452,10821,9248
"51","04000US51","Virginia","Virginia","va","040","00","ACSSF","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8517685,502102,514779,534414,318345,826038,1170188,1114566,1115695,1103333,779502,390537,148186,8517685,5737580,1631512,22265,555422,5659,215743,349504,8517685,7704875,5224295,1597761,18281,550696,4587,20390,288865,812810,513285,33751,3984,4726,1072,195353,60639,5822007,588385,1398061,1545104,1296041,731653,153341,109422
"53","04000US53","Washington","Washington","wa","040","00","ACSSF","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7535591,458194,466487,468155,269103,658589,1153369,1006328,930921,960458,710781,325150,128056,7535591,5633263,291808,97329,661781,53924,344853,452633,7535591,6565238,5111274,281902,81400,655415,52145,14078,369024,970353,521989,9906,15929,6366,1779,330775,83609,5215063,437484,1133822,1730653,1187508,524199,115719,85678
"54","04000US54","West Virginia","West Virginia","wv","040","00","ACSSF","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1805832,93922,97203,107390,64710,161826,209002,218803,233109,258651,215290,105707,40219,1805832,1679773,68679,2629,13459,451,6430,34411,1805832,1780263,1661773,68042,2535,13311,451,2286,31865,25569,18000,637,94,148,0,4144,2546,1280781,156585,508339,342754,163614,76634,18825,14030
"55","04000US55","Wisconsin","Wisconsin","wi","040","00","ACSSF","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813568,330651,342754,374768,223932,549441,735765,706676,738357,824741,571672,290056,124755,5813568,4957243,370632,50364,165380,1961,121475,146513,5813568,5409735,4707567,363642,47092,163421,1800,6629,119584,403833,249676,6990,3272,1959,161,114846,26929,3992022,315219,1222475,1256252,775533,299862,70906,51775
"56","04000US56","Wyoming","Wyoming","wy","040","00","ACSSF","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577737,35395,34937,40645,22119,51505,77254,72405,67487,79433,59467,27832,9258,577737,528453,3667,16185,5807,1111,8798,13716,577737,519842,485040,3102,14292,5612,1065,537,10194,57895,43413,565,1893,195,46,8261,3522,393136,26309,113351,147893,66449,28596,5523,5015
"72","04000US72","Puerto Rico","Puerto Rico","pr","040","00","ACSSF","0000001",,,,,"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195153,125796,167470,181046,119698,313113,381445,396979,422128,426262,361819,217779,81618,3195153,2079304,400936,4013,5144,767,551773,153216,3195153,41136,30793,4372,0,1747,0,3077,1147,3154017,2048511,396564,4013,3397,767,548696,152069,2288030,514905,644702,517720,430692,120713,32733,26565
