Geography,Population Estimate (as of July 1) - 2016 - Both Sexes; Total,Population Estimate (as of July 1) - 2016 - Male; Total,Population Estimate (as of July 1) - 2016 - Female; Total,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2016 - Male; Total - Under 5 years,Population Estimate (as of July 1) - 2016 - Female; Total - Under 5 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2016 - Male; Total - 5 to 9 years,Population Estimate (as of July 1) - 2016 - Female; Total - 5 to 9 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2016 - Male; Total - 10 to 14 years,Population Estimate (as of July 1) - 2016 - Female; Total - 10 to 14 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2016 - Male; Total - 15 to 19 years,Population Estimate (as of July 1) - 2016 - Female; Total - 15 to 19 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2016 - Male; Total - 20 to 24 years,Population Estimate (as of July 1) - 2016 - Female; Total - 20 to 24 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2016 - Male; Total - 25 to 29 years,Population Estimate (as of July 1) - 2016 - Female; Total - 25 to 29 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2016 - Male; Total - 30 to 34 years,Population Estimate (as of July 1) - 2016 - Female; Total - 30 to 34 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2016 - Male; Total - 35 to 39 years,Population Estimate (as of July 1) - 2016 - Female; Total - 35 to 39 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2016 - Male; Total - 40 to 44 years,Population Estimate (as of July 1) - 2016 - Female; Total - 40 to 44 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2016 - Male; Total - 45 to 49 years,Population Estimate (as of July 1) - 2016 - Female; Total - 45 to 49 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2016 - Male; Total - 50 to 54 years,Population Estimate (as of July 1) - 2016 - Female; Total - 50 to 54 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2016 - Male; Total - 55 to 59 years,Population Estimate (as of July 1) - 2016 - Female; Total - 55 to 59 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2016 - Male; Total - 60 to 64 years,Population Estimate (as of July 1) - 2016 - Female; Total - 60 to 64 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2016 - Male; Total - 65 to 69 years,Population Estimate (as of July 1) - 2016 - Female; Total - 65 to 69 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2016 - Male; Total - 70 to 74 years,Population Estimate (as of July 1) - 2016 - Female; Total - 70 to 74 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2016 - Male; Total - 75 to 79 years,Population Estimate (as of July 1) - 2016 - Female; Total - 75 to 79 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2016 - Male; Total - 80 to 84 years,Population Estimate (as of July 1) - 2016 - Female; Total - 80 to 84 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2016 - Male; Total - 85 years and over,Population Estimate (as of July 1) - 2016 - Female; Total - 85 years and over,Population Estimate (as of July 1) - 2016 - Both Sexes; Under 18 years,Population Estimate (as of July 1) - 2016 - Male; Under 18 years,Population Estimate (as of July 1) - 2016 - Female; Under 18 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Under 18 years - Under 5 years,Population Estimate (as of July 1) - 2016 - Male; Under 18 years - Under 5 years,Population Estimate (as of July 1) - 2016 - Female; Under 18 years - Under 5 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2016 - Male; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2016 - Female; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Under 18 years - 14 to 17 years,Population Estimate (as of July 1) - 2016 - Male; Under 18 years - 14 to 17 years,Population Estimate (as of July 1) - 2016 - Female; Under 18 years - 14 to 17 years,Population Estimate (as of July 1) - 2016 - Both Sexes; 18 to 64 years,Population Estimate (as of July 1) - 2016 - Male; 18 to 64 years,Population Estimate (as of July 1) - 2016 - Female; 18 to 64 years,Population Estimate (as of July 1) - 2016 - Both Sexes; 18 to 64 years - 18 to 24 years,Population Estimate (as of July 1) - 2016 - Male; 18 to 64 years - 18 to 24 years,Population Estimate (as of July 1) - 2016 - Female; 18 to 64 years - 18 to 24 years,Population Estimate (as of July 1) - 2016 - Both Sexes; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2016 - Male; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2016 - Female; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2016 - Both Sexes; 18 to 64 years - 45 to 64 years,Population Estimate (as of July 1) - 2016 - Male; 18 to 64 years - 45 to 64 years,Population Estimate (as of July 1) - 2016 - Female; 18 to 64 years - 45 to 64 years,Population Estimate (as of July 1) - 2016 - Both Sexes; 65 years and over,Population Estimate (as of July 1) - 2016 - Male; 65 years and over,Population Estimate (as of July 1) - 2016 - Female; 65 years and over,Population Estimate (as of July 1) - 2016 - Both Sexes; 85 years and over,Population Estimate (as of July 1) - 2016 - Male; 85 years and over,Population Estimate (as of July 1) - 2016 - Female; 85 years and over,Population Estimate (as of July 1) - 2016 - Both Sexes; 16 years and over,Population Estimate (as of July 1) - 2016 - Male; 16 years and over,Population Estimate (as of July 1) - 2016 - Female; 16 years and over,Population Estimate (as of July 1) - 2016 - Both Sexes; 18 years and over,Population Estimate (as of July 1) - 2016 - Male; 18 years and over,Population Estimate (as of July 1) - 2016 - Female; 18 years and over,Population Estimate (as of July 1) - 2016 - Both Sexes; 15 to 44 years,Population Estimate (as of July 1) - 2016 - Male; 15 to 44 years,Population Estimate (as of July 1) - 2016 - Female; 15 to 44 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Median age (years),Population Estimate (as of July 1) - 2016 - Male; Median age (years),Population Estimate (as of July 1) - 2016 - Female; Median age (years)
Alabama,4864745,2356253,2508492,294067,149446,144621,303877,154964,148913,306543,156304,150239,320955,162998,157957,336521,170025,166496,332662,164884,167778,303363,148125,155238,300325,146029,154296,293848,142609,151239,311805,152080,159725,332038,161072,170966,338484,162374,176110,306321,144550,161771,271229,126657,144572,192882,87617,105265,138609,60052,78557,93849,37955,55894,87367,28512,58855,1099327,559771,539556,294067,149446,144621,548918,279991,268927,256342,130334,126008,2981482,1455689,1525793,462636,233966,228670,1230198,601647,628551,1288648,620076,668572,783936,340793,443143,87367,28512,58855,3895438,1862533,2032905,3765418,1796482,1968936,1887674,934670,953004,38.9,37.4,40.3
Alaska,741504,388088,353416,54835,27991,26844,52549,27199,25350,49564,25410,24154,47293,24888,22405,57082,32790,24292,62775,33744,29031,57819,30479,27340,49247,25731,23516,42892,22518,20374,44974,23569,21405,48902,25500,23402,50817,26406,24411,44488,22874,21614,33041,17306,15735,20024,10305,9719,11852,5851,6001,7025,3113,3912,6325,2414,3911,186810,96056,90754,54835,27991,26844,92342,47603,44739,39633,20462,19171,476427,253043,223384,74513,42222,32291,212733,112472,100261,189181,98349,90832,78267,38989,39278,6325,2414,3911,574688,302402,272286,554694,292032,262662,317108,170150,146958,34.0,33.6,34.5
Arizona,6945452,3452831,3492621,437334,223791,213543,457434,232724,224710,461181,234969,226212,468199,239753,228446,489619,255058,234561,489168,254223,234945,456678,235286,221392,436670,221462,215208,413956,207737,206219,422185,210728,211457,425160,209295,215865,431347,207446,223901,398785,186694,212091,384496,180494,204002,292338,137303,155035,209285,98532,110753,137856,63808,74048,133761,53528,80233,1636047,834035,802012,437334,223791,213543,827755,421571,406184,370958,188673,182285,4151669,2085131,2066538,677720,352260,325460,1796472,918708,877764,1677477,814163,863314,1157736,533665,624071,133761,53528,80233,5496511,2714050,2782461,5309405,2618796,2690609,2754290,1413519,1340771,37.3,36.1,38.7
Arkansas,2990410,1469237,1521173,191428,98540,92888,196941,100465,96476,197294,100877,96417,198724,101642,97082,205074,104650,100424,202144,101525,100619,190418,95275,95143,187282,93512,93770,177390,87793,89597,182821,90495,92326,195720,96173,99547,197463,96134,101329,180296,85559,94737,163249,76921,86328,120121,55562,64559,87287,39262,48025,59143,24902,34241,57615,19950,37665,706077,361567,344510,191428,98540,92888,355292,181542,173750,159357,81485,77872,1796918,891073,905845,283384,144607,138777,757234,378105,379129,756300,368361,387939,487415,216597,270818,57615,19950,37665,2364877,1148819,1216058,2284333,1107670,1176663,1161032,584397,576635,37.9,36.6,39.3
California,39209127,19481988,19727139,2487395,1272967,1214428,2535526,1295659,1239867,2519618,1284782,1234836,2579928,1318360,1261568,2809128,1452417,1356711,3073977,1587461,1486516,2864606,1468579,1396027,2653939,1341705,1312234,2507235,1252085,1255150,2596676,1297357,1299319,2582589,1282270,1300319,2510275,1230146,1280129,2168334,1038722,1129612,1811319,851656,959663,1261426,578392,683034,892595,396943,495652,634367,269103,365264,720194,263384,456810,9086671,4642878,4443793,2487395,1272967,1214428,4560002,2328073,2231929,2039274,1041838,997436,24802555,12479632,12322923,3844924,1981307,1863617,11099757,5649830,5449927,9857874,4848495,5009379,5319901,2359478,2960423,720194,263384,456810,31156293,15367869,15788424,30122456,14839110,15283346,16488813,8420607,8068206,36.3,35.2,37.5
Colorado,5540921,2787010,2753911,335639,171230,164409,354955,182181,172774,360874,184543,176331,354348,182410,171938,381331,201013,180318,428468,222937,205531,422872,219633,203239,390056,200057,189999,356718,183486,173232,360174,183369,176805,357237,177274,179963,369253,181279,187974,329524,159781,169743,277271,134066,143205,179170,84749,94421,118346,53993,64353,79986,34681,45305,84699,30328,54371,1263028,646099,616929,335639,171230,164409,645456,330712,314744,281933,144157,137776,3538421,1803094,1735327,524119,275278,248841,1598114,826113,772001,1416188,701703,714485,739472,337817,401655,84699,30328,54371,4418136,2212768,2205368,4277893,2140911,2136982,2333793,1209536,1124257,36.6,35.7,37.6
Connecticut,3578674,1745576,1833098,184766,94413,90353,202049,103151,98898,221911,113278,108633,247268,126213,121055,246934,127717,119217,218410,112770,105640,219890,109804,110086,212438,104259,108179,210230,102403,107827,249417,120926,128491,274338,133011,141327,272882,132441,140441,231142,111337,119805,189852,88886,100966,138922,63755,75167,95256,41572,53684,71218,28906,42312,91751,30734,61017,751883,384262,367621,184766,94413,90353,378556,193093,185463,188561,96756,91805,2239792,1107461,1132331,351045,180510,170535,860968,429236,431732,1027779,497715,530064,586999,253853,333146,91751,30734,61017,2923359,1410764,1512595,2826791,1361314,1465477,1355170,683166,672004,40.9,39.1,42.6
Delaware,949216,459131,490085,55009,27881,27128,56527,28458,28069,57155,28943,28212,59920,30269,29651,60195,30624,29571,67070,33629,33441,60018,29889,30129,56352,27420,28932,52787,25654,27133,60459,29046,31413,66767,32085,34682,67766,31976,35790,62286,28863,33423,57919,26859,31060,42076,19400,22676,28694,12978,15716,19149,8229,10920,19067,6928,12139,203633,103105,100528,55009,27881,27128,102313,51584,50729,46311,23640,22671,578678,281632,297046,85173,43070,42103,236227,116592,119635,257278,121970,135308,166905,74394,92511,19067,6928,12139,769026,368004,401022,745583,356026,389557,356342,177485,178857,40.2,38.5,41.9
District of Columbia,686575,325859,360716,44878,22726,22152,34288,17263,17025,26646,13325,13321,36851,17551,19300,54446,24930,29516,82926,37973,44953,77820,37211,40609,57527,28415,29112,41644,20859,20785,38684,19482,19202,38493,19312,19181,37048,18046,19002,33302,15167,18135,28247,12458,15789,19081,8133,10948,13408,5590,7818,9383,3586,5797,11903,3832,8071,121675,61388,60287,44878,22726,22152,55890,28124,27766,20907,10538,10369,482878,230872,252006,75434,34407,41027,259917,124458,135459,147527,72007,75520,82022,33599,48423,11903,3832,8071,575486,269893,305593,564900,264471,300429,351214,166939,184275,34.0,33.8,34.1
Florida,20629982,10088662,10541320,1125998,576604,549394,1145534,584529,561005,1159179,591232,567947,1197591,613717,583874,1282152,657134,625018,1394993,710559,684434,1297561,653763,643798,1243930,619001,624929,1234469,609505,624964,1331095,656984,674111,1431582,698996,732586,1419013,678748,740265,1299476,603812,695664,1259891,585223,674668,998350,462565,535785,742980,340538,402442,520450,231913,288537,545738,213839,331899,4159335,2123775,2035560,1125998,576604,549394,2072039,1057061,1014978,961298,490110,471188,12403238,6130809,6272429,1751119,899441,851678,5170953,2592828,2578125,5481166,2638540,2842626,4067409,1834078,2233331,545738,213839,331899,16959370,8214146,8745224,16470647,7964887,8505760,7650696,3863679,3787017,41.9,40.3,43.5
Georgia,10304763,5016351,5288412,659787,335926,323861,698313,356241,342072,714150,363112,351038,716461,365521,350940,723353,369193,354160,734411,365882,368529,691447,338565,352882,685950,331898,354052,676125,326130,349995,708778,345897,362881,706105,342726,363379,664822,319115,345707,570653,266720,303933,496504,228546,267958,341742,155351,186391,228878,100294,128584,148229,59692,88537,139055,45542,93513,2507956,1277401,1230555,659787,335926,323861,1269953,646912,623041,578216,294563,283653,6442399,3149525,3292874,1004108,512592,491516,2787933,1362475,1425458,2650358,1274458,1375900,1354408,589425,764983,139055,45542,93513,8086840,3887070,4199770,7796807,3738950,4057857,4227747,2097189,2130558,36.5,35.2,37.8
Hawaii,1428105,717577,710528,91479,46922,44557,86564,44486,42078,81793,42036,39757,77952,40266,37686,97487,54461,43026,106475,56330,50145,101323,52302,49021,93332,47620,45712,84068,42557,41511,87391,43920,43471,90089,44958,45131,93312,46072,47240,90319,44038,46281,81545,39837,41708,58103,27943,30160,38241,17420,20821,28624,11946,16678,40008,14463,25545,307485,157769,149716,91479,46922,44557,152715,78590,74125,63291,32257,31034,874099,448199,425900,127790,70402,57388,385198,198809,186389,361111,178988,182123,246521,111609,134912,40008,14463,25545,1152275,576054,576221,1120620,559808,560812,560637,293536,267101,38.7,37.2,40.4
Idaho,1682930,842975,839955,114745,58220,56525,123004,62704,60300,125303,64071,61232,120779,61766,59013,112424,59039,53385,112158,56858,55300,109006,55274,53732,108863,55177,53686,98164,49780,48384,98203,49607,48596,100505,49684,50821,106767,52321,54446,100604,49252,51352,89658,44076,45582,63153,30794,32359,43351,20760,22591,28360,12992,15368,27883,10600,17283,438261,223380,214881,114745,58220,56525,223865,114295,109570,99651,50865,48786,992264,500373,491891,157994,82420,75574,428191,217089,211102,406079,200864,205215,252405,119222,133183,27883,10600,17283,1294690,645206,649484,1244669,619595,625074,661394,337894,323500,36.1,35.3,36.8
Illinois,12826895,6300726,6526169,778986,397910,381076,805267,410766,394501,832390,425235,407155,843490,431263,412227,880589,447720,432869,898534,455323,443211,882743,444265,438478,847480,423948,423532,796604,396317,400287,838494,415321,423173,872385,429488,442897,885807,431933,453874,770175,369731,400444,640548,301350,339198,442736,201643,241093,318874,138444,180430,227736,92511,135225,264057,87558,176499,2929942,1495440,1434502,778986,397910,381076,1471304,751033,720271,679652,346497,333155,8003002,3983780,4019222,1210780,617454,593326,3425361,1719853,1705508,3366861,1646473,1720388,1893951,821506,1072445,264057,87558,176499,10240118,4980309,5259809,9896953,4805286,5091667,5149440,2598836,2550604,37.8,36.6,39.1
Indiana,6633344,3270035,3363309,420723,216147,204576,434930,221735,213195,444594,227705,216889,457320,234082,223238,481397,246952,234445,437856,220408,217448,418221,209179,209042,416707,208355,208352,398247,198656,199591,420828,210438,210390,444673,219608,225065,457370,224304,233066,406156,196560,209596,342890,162641,180249,235109,108319,126790,169164,74307,94857,118044,47909,70135,129115,42730,86385,1575825,806354,769471,420723,216147,204576,791003,404196,386807,364099,186011,178088,4063197,2027775,2035422,663139,340267,322872,1671031,836598,834433,1729027,850910,878117,994322,435906,558416,129115,42730,86385,5241731,2557745,2683986,5057519,2463681,2593838,2609748,1317632,1292116,37.6,36.4,38.9
Iowa,3131785,1557278,1574507,198280,101490,96790,204679,104891,99788,204459,104536,99923,214509,109636,104873,231636,119817,111819,194879,100373,94506,198980,101677,97303,193981,98618,95363,173363,87750,85613,186172,93993,92179,202732,101073,101659,217367,107854,109513,198331,98278,100053,167028,81385,85643,113004,53305,59699,87026,38947,48079,66068,27314,38754,79291,26341,52950,731080,374130,356950,198280,101490,96790,368930,188829,180101,163870,83811,80059,1888288,955856,932432,322483,166240,156243,761203,388418,372785,804602,401198,403404,512417,227292,285125,79291,26341,52950,2483516,1225490,1258026,2400705,1183148,1217557,1207348,617871,589477,38.0,36.8,39.3
Kansas,2911263,1450477,1460786,195192,99548,95644,202024,103261,98763,199396,101893,97503,200895,103974,96921,219297,115348,103949,191847,99679,92168,193679,98178,95501,183950,93397,90553,164156,83014,81142,168880,84857,84023,184261,91355,92906,195410,95515,99895,175977,85969,90008,145974,70835,75139,98798,46291,52507,72352,32261,40091,54575,22785,31790,64600,22317,42283,716983,366735,350248,195192,99548,95644,362339,185089,177250,159452,82098,77354,1757981,889253,868728,299821,157289,142532,733632,374268,359364,724528,357696,366832,436299,194489,241810,64600,22317,42283,2274717,1125250,1149467,2194280,1083742,1110538,1153824,593590,560234,36.4,35.2,37.7
Kentucky,4438229,2186164,2252065,276708,142046,134662,279254,142908,136346,282431,144348,138083,287521,147446,140075,307035,159668,147367,298390,151136,147254,276901,139290,137611,281570,140794,140776,271478,135612,135866,288205,143270,144935,307431,150785,156646,310121,150258,159863,279747,133894,145853,244480,116041,128439,167352,77158,90194,120451,53055,67396,80285,32679,47606,78869,25776,53093,1012184,518453,493731,276708,142046,134662,505862,258639,247223,229614,117768,111846,2734608,1363002,1371606,420765,217963,202802,1128339,566832,561507,1185504,578207,607297,691437,304709,386728,78869,25776,53093,3542492,1727440,1815052,3426045,1667711,1758334,1722895,873946,848949,38.7,37.3,40.1
Louisiana,4678215,2287993,2390222,312177,159060,153117,311007,158220,152787,304099,155209,148890,301251,153587,147664,327442,166874,160568,349435,174988,174447,330833,164697,166136,303790,150925,152865,268394,132616,135778,283301,138379,144922,307129,148898,158231,317797,153028,164769,284373,135605,148768,239186,112260,126926,163393,74346,89047,116567,50620,65947,79432,31985,47447,78609,26696,51913,1113728,567633,546095,312177,159060,153117,554855,282690,272165,246696,125883,120813,2887300,1424453,1462847,442248,225317,216931,1252452,623226,629226,1192600,575910,616690,677187,295907,381280,78609,26696,51913,3689143,1783988,1905155,3564487,1720360,1844127,1881145,943687,937458,36.6,35.4,37.9
Maine,1331370,651870,679500,64503,33235,31268,69410,35440,33970,73520,37779,35741,80164,41284,38880,77537,39656,37881,78779,39869,38910,76958,38120,38838,75256,37204,38052,76077,37269,38808,89336,43861,45475,101430,49583,51847,108656,52605,56051,101337,48856,52481,90562,43838,46724,61730,29538,32192,42495,19223,23272,30794,13272,17522,32826,11238,21588,254618,130701,123917,64503,33235,31268,128252,65705,62547,61863,31761,30102,818345,404060,414285,110516,56693,53823,307070,152462,154608,400759,194905,205854,258407,117109,141298,32826,11238,21588,1108715,537593,571122,1076752,521169,555583,464771,233402,231369,44.6,43.2,45.8
